Pool Price

""

Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
"01/01/2005 01","52.02","61.85","7636.0"
"01/01/2005 02","10.84","61.83","7513.0"
"01/01/2005 03","10.84","61.83","7378.0"
"01/01/2005 04","10.84","61.83","7292.0"
"01/01/2005 05","10.33","61.83","7220.0"
"01/01/2005 06","10.84","61.83","7209.0"
"01/01/2005 07","10.84","61.77","7301.0"
"01/01/2005 08","10.84","61.69","7349.0"
"01/01/2005 09","10.84","61.58","7433.0"
"01/01/2005 10","10.84","61.52","7480.0"
"01/01/2005 11","10.84","61.42","7528.0"
"01/01/2005 12","10.84","61.31","7772.0"
"01/01/2005 13","10.84","61.25","7844.0"
"01/01/2005 14","10.84","61.19","7837.0"
"01/01/2005 15","10.84","61.13","7834.0"
"01/01/2005 16","10.84","60.91","7887.0"
"01/01/2005 17","42.35","60.04","8163.0"
"01/01/2005 18","106.20","59.93","8478.0"
"01/01/2005 19","19.85","59.83","8403.0"
"01/01/2005 20","42.60","59.46","8314.0"
"01/01/2005 21","17.29","58.99","8256.0"
"01/01/2005 22","38.40","58.89","8156.0"
"01/01/2005 23","10.84","58.84","7964.0"
"01/01/2005 24","10.84","58.81","7705.0"
"01/02/2005 01","10.84","58.28","7527.0"
"01/02/2005 02","10.84","58.23","7376.0"
"01/02/2005 03","10.84","57.81","7309.0"
"01/02/2005 04","10.84","57.81","7265.0"
"01/02/2005 05","10.84","57.75","7251.0"
"01/02/2005 06","10.84","57.74","7280.0"
"01/02/2005 07","10.84","57.73","7376.0"
"01/02/2005 08","10.84","57.65","7512.0"
"01/02/2005 09","10.84","57.55","7654.0"
"01/02/2005 10","10.84","57.48","7759.0"
"01/02/2005 11","10.84","57.41","7872.0"
"01/02/2005 12","10.84","57.34","7953.0"
"01/02/2005 13","10.84","57.31","7968.0"
"01/02/2005 14","10.84","57.27","7953.0"
"01/02/2005 15","10.84","57.24","7941.0"
"01/02/2005 16","10.84","57.21","7958.0"
"01/02/2005 17","34.83","57.21","8281.0"
"01/02/2005 18","88.83","57.12","8706.0"
"01/02/2005 19","44.74","57.10","8666.0"
"01/02/2005 20","51.64","57.09","8575.0"
"01/02/2005 21","55.52","57.08","8481.0"
"01/02/2005 22","39.72","57.07","8335.0"
"01/02/2005 23","10.84","57.07","8059.0"
"01/02/2005 24","10.84","57.07","7761.0"
"01/03/2005 01","10.84","57.06","7525.0"
"01/03/2005 02","10.84","57.06","7394.0"
"01/03/2005 03","10.38","57.06","7316.0"
"01/03/2005 04","10.84","57.05","7344.0"
"01/03/2005 05","10.84","57.05","7375.0"
"01/03/2005 06","10.84","57.05","7481.0"
"01/03/2005 07","10.84","57.04","7775.0"
"01/03/2005 08","33.33","57.07","8198.0"
"01/03/2005 09","47.24","57.11","8393.0"
"01/03/2005 10","39.32","56.98","8453.0"
"01/03/2005 11","70.04","56.86","8513.0"
"01/03/2005 12","37.46","56.58","8537.0"
"01/03/2005 13","47.33","56.57","8515.0"
"01/03/2005 14","18.36","56.55","8469.0"
"01/03/2005 15","11.98","56.50","8460.0"
"01/03/2005 16","10.58","56.48","8482.0"
"01/03/2005 17","27.69","56.45","8781.0"
"01/03/2005 18","242.76","56.66","9160.0"
"01/03/2005 19","103.28","56.44","9015.0"
"01/03/2005 20","53.83","56.36","8926.0"
"01/03/2005 21","84.55","56.38","8806.0"
"01/03/2005 22","49.76","56.24","8598.0"
"01/03/2005 23","34.39","56.23","8287.0"
"01/03/2005 24","10.84","56.18","7917.0"
"01/04/2005 01","10.84","56.16","7710.0"
"01/04/2005 02","10.84","56.15","7596.0"
"01/04/2005 03","32.62","56.17","7556.0"
"01/04/2005 04","25.63","56.19","7533.0"
"01/04/2005 05","10.84","56.19","7541.0"
"01/04/2005 06","17.25","56.19","7673.0"
"01/04/2005 07","19.49","56.16","8031.0"
"01/04/2005 08","63.78","56.19","8474.0"
"01/04/2005 09","52.17","56.19","8675.0"
"01/04/2005 10","52.83","56.21","8650.0"
"01/04/2005 11","52.52","56.22","8647.0"
"01/04/2005 12","50.71","56.19","8614.0"
"01/04/2005 13","22.65","56.11","8550.0"
"01/04/2005 14","36.14","56.02","8535.0"
"01/04/2005 15","31.43","56.04","8533.0"
"01/04/2005 16","51.49","55.96","8577.0"
"01/04/2005 17","61.43","55.81","8793.0"
"01/04/2005 18","63.13","55.48","9172.0"
"01/04/2005 19","55.55","55.45","9087.0"
"01/04/2005 20","54.92","55.27","8940.0"
"01/04/2005 21","42.85","55.12","8846.0"
"01/04/2005 22","46.61","54.94","8662.0"
