('01/01/2007 01', 37.54, 64.31, 7572.0),
('01/01/2007 02', 35.68, 64.25, 7461.0),
('01/01/2007 03', 33.06, 64.19, 7318.0),
('01/01/2007 04', 32.19, 64.13, 7210.0),
('01/01/2007 05', 32.06, 64.07, 7189.0),
('01/01/2007 06', 32.93, 64.01, 7175.0),
('01/01/2007 07', 32.94, 63.95, 7235.0),
('01/01/2007 08', 39.02, 63.92, 7337.0),
('01/01/2007 09', 36.05, 63.84, 7404.0),
('01/01/2007 10', 38.73, 63.79, 7489.0),
('01/01/2007 11', 45.64, 63.65, 7636.0),
('01/01/2007 12', 47.33, 63.27, 7739.0),
('01/01/2007 13', 48.06, 63.23, 7828.0),
('01/01/2007 14', 52.03, 63.20, 7812.0),
('01/01/2007 15', 59.57, 63.07, 7865.0),
('01/01/2007 16', 46.71, 62.77, 7935.0),
('01/01/2007 17', 51.76, 62.42, 8195.0),
('01/01/2007 18', 55.69, 61.78, 8485.0),
('01/01/2007 19', 84.52, 61.75, 8372.0),
('01/01/2007 20', 63.71, 61.32, 8259.0),
('01/01/2007 21', 81.09, 61.32, 8162.0),
('01/01/2007 22', 69.09, 61.07, 8021.0),
('01/01/2007 23', 50.15, 61.04, 7743.0),
('01/01/2007 24', 36.06, 60.98, 7415.0),
('01/02/2007 01', 42.15, 60.95, 7204.0),
('01/02/2007 02', 36.06, 60.92, 7075.0),
('01/02/2007 03', 36.06, 60.89, 7034.0),
('01/02/2007 04', 36.06, 60.86, 7029.0),
('01/02/2007 05', 37.16, 60.83, 7072.0),
('01/02/2007 06', 43.01, 60.81, 7194.0),
('01/02/2007 07', 40.39, 60.79, 7534.0),
('01/02/2007 08', 32.80, 60.78, 7943.0),
('01/02/2007 09', 56.52, 60.76, 8265.0),
('01/02/2007 10', 50.98, 60.74, 8350.0),
('01/02/2007 11', 48.38, 60.70, 8445.0),
('01/02/2007 12', 63.96, 60.65, 8468.0),
('01/02/2007 13', 57.70, 60.57, 8449.0),
('01/02/2007 14', 61.28, 60.49, 8459.0),
('01/02/2007 15', 56.06, 60.43, 8464.0),
('01/02/2007 16', 50.16, 60.36, 8518.0),
('01/02/2007 17', 54.10, 59.84, 8754.0),
('01/02/2007 18', 109.05, 59.30, 8975.0),
('01/02/2007 19', 119.31, 59.21, 8803.0),
('01/02/2007 20', 48.06, 58.24, 8731.0),
('01/02/2007 21', 61.05, 57.95, 8613.0),
('01/02/2007 22', 50.88, 57.61, 8361.0),
('01/02/2007 23', 25.66, 57.56, 7999.0),
('01/02/2007 24', 19.18, 57.50, 7667.0),
('01/03/2007 01', 25.86, 57.45, 7390.0),
('01/03/2007 02', 7.42, 57.39, 7244.0),
('01/03/2007 03', 9.36, 57.32, 7191.0),
('01/03/2007 04', 10.06, 57.26, 7166.0),
('01/03/2007 05', 10.06, 57.19, 7211.0),
('01/03/2007 06', 12.44, 57.12, 7323.0),
('01/03/2007 07', 25.18, 57.08, 7655.0),
('01/03/2007 08', 26.79, 56.87, 8065.0),
('01/03/2007 09', 36.50, 56.78, 8379.0),
('01/03/2007 10', 36.86, 56.70, 8396.0),
('01/03/2007 11', 46.36, 56.61, 8459.0),
('01/03/2007 12', 49.06, 56.55, 8533.0),
('01/03/2007 13', 49.06, 56.50, 8512.0),
('01/03/2007 14', 49.06, 56.48, 8488.0),
('01/03/2007 15', 49.06, 56.44, 8470.0),
('01/03/2007 16', 49.76, 56.41, 8524.0),
('01/03/2007 17', 62.06, 56.36, 8781.0),
('01/03/2007 18', 63.43, 56.33, 9140.0),
('01/03/2007 19', 53.74, 56.30, 8999.0),
('01/03/2007 20', 57.89, 56.22, 8859.0),
('01/03/2007 21', 57.83, 56.18, 8712.0),
('01/03/2007 22', 63.49, 56.19, 8488.0),
('01/03/2007 23', 59.66, 56.24, 8211.0),
('01/03/2007 24', 51.80, 56.24, 7873.0),
('01/04/2007 01', 36.79, 56.23, 7583.0),
('01/04/2007 02', 35.90, 56.23, 7458.0),
('01/04/2007 03', 28.84, 56.21, 7350.0),
('01/04/2007 04', 23.84, 56.19, 7317.0),
('01/04/2007 05', 22.23, 56.16, 7337.0),
('01/04/2007 06', 23.57, 56.14, 7490.0),
('01/04/2007 07', 31.25, 56.12, 7827.0),
('01/04/2007 08', 26.70, 56.09, 8216.0),
('01/04/2007 09', 33.22, 56.04, 8483.0),
('01/04/2007 10', 36.18, 56.03, 8539.0),
('01/04/2007 11', 36.76, 56.01, 8596.0),
('01/04/2007 12', 47.93, 56.00, 8619.0),
('01/04/2007 13', 41.02, 55.98, 8567.0),
